"","Province/State","Country/Region","date","CumConfirmed","CumDeaths","CumRecovered"
"1053","Himachal Pradesh","India",2020-04-04,6,1,1
"1054","Himachal Pradesh","India",2020-04-05,6,1,1
"1055","Himachal Pradesh","India",2020-04-06,13,2,1
"1056","Himachal Pradesh","India",2020-04-07,13,2,1
"1057","Himachal Pradesh","India",2020-04-08,18,2,1
"1058","Himachal Pradesh","India",2020-04-09,18,2,1
"1059","Himachal Pradesh","India",2020-04-10,28,6,1
"1060","Himachal Pradesh","India",2020-04-11,28,6,1
"1061","Himachal Pradesh","India",2020-04-12,32,6,1
"1062","Himachal Pradesh","India",2020-04-13,32,13,1
"1063","Himachal Pradesh","India",2020-04-14,32,13,1
"1064","Himachal Pradesh","India",2020-04-15,33,13,1
"1065","Himachal Pradesh","India",2020-04-16,35,16,1
"1066","Himachal Pradesh","India",2020-04-17,35,16,1
"1067","Himachal Pradesh","India",2020-04-18,38,16,1
"1068","Himachal Pradesh","India",2020-04-19,39,16,1
"1069","Jammu and Kashmir","India",2020-01-22,0,0,0
"1070","Jammu and Kashmir","India",2020-01-23,0,0,0
"1071","Jammu and Kashmir","India",2020-01-24,0,0,0
"1072","Jammu and Kashmir","India",2020-01-25,0,0,0
"1073","Jammu and Kashmir","India",2020-01-26,0,0,0
"1074","Jammu and Kashmir","India",2020-01-27,0,0,0
"1075","Jammu and Kashmir","India",2020-01-28,0,0,0
"1076","Jammu and Kashmir","India",2020-01-29,0,0,0
"1077","Jammu and Kashmir","India",2020-01-30,0,0,0
"1078","Jammu and Kashmir","India",2020-01-31,0,0,0
"1079","Jammu and Kashmir","India",2020-02-01,0,0,0
"1080","Jammu and Kashmir","India",2020-02-02,0,0,0
"1081","Jammu and Kashmir","India",2020-02-03,0,0,0
"1082","Jammu and Kashmir","India",2020-02-04,0,0,0
"1083","Jammu and Kashmir","India",2020-02-05,0,0,0
"1084","Jammu and Kashmir","India",2020-02-06,0,0,0
"1085","Jammu and Kashmir","India",2020-02-07,0,0,0
"1086","Jammu and Kashmir","India",2020-02-08,0,0,0
"1087","Jammu and Kashmir","India",2020-02-09,0,0,0
"1088","Jammu and Kashmir","India",2020-02-10,0,0,0
"1089","Jammu and Kashmir","India",2020-02-11,0,0,0
"1090","Jammu and Kashmir","India",2020-02-12,0,0,0
"1091","Jammu and Kashmir","India",2020-02-13,0,0,0
"1092","Jammu and Kashmir","India",2020-02-14,0,0,0
"1093","Jammu and Kashmir","India",2020-02-15,0,0,0
"1094","Jammu and Kashmir","India",2020-02-16,0,0,0
"1095","Jammu and Kashmir","India",2020-02-17,0,0,0
"1096","Jammu and Kashmir","India",2020-02-18,0,0,0
"1097","Jammu and Kashmir","India",2020-02-19,0,0,0
"1098","Jammu and Kashmir","India",2020-02-20,0,0,0
"1099","Jammu and Kashmir","India",2020-02-21,0,0,0
"1100","Jammu and Kashmir","India",2020-02-22,0,0,0
"1101","Jammu and Kashmir","India",2020-02-23,0,0,0
"1102","Jammu and Kashmir","India",2020-02-24,0,0,0
"1103","Jammu and Kashmir","India",2020-02-25,0,0,0
"1104","Jammu and Kashmir","India",2020-02-26,0,0,0
"1105","Jammu and Kashmir","India",2020-02-27,0,0,0
"1106","Jammu and Kashmir","India",2020-02-28,0,0,0
"1107","Jammu and Kashmir","India",2020-02-29,0,0,0
"1108","Jammu and Kashmir","India",2020-03-01,0,0,0
"1109","Jammu and Kashmir","India",2020-03-02,0,0,0
"1110","Jammu and Kashmir","India",2020-03-03,0,0,0
"1111","Jammu and Kashmir","India",2020-03-04,0,0,0
"1112","Jammu and Kashmir","India",2020-03-05,0,0,0
"1113","Jammu and Kashmir","India",2020-03-06,0,0,0
"1114","Jammu and Kashmir","India",2020-03-07,0,0,0
"1115","Jammu and Kashmir","India",2020-03-08,0,0,0
"1116","Jammu and Kashmir","India",2020-03-09,1,0,0
"1117","Jammu and Kashmir","India",2020-03-10,1,0,0
"1118","Jammu and Kashmir","India",2020-03-11,1,0,0
"1119","Jammu and Kashmir","India",2020-03-12,1,0,0
"1120","Jammu and Kashmir","India",2020-03-13,1,0,0
"1121","Jammu and Kashmir","India",2020-03-14,2,0,0
"1122","Jammu and Kashmir","India",2020-03-15,2,0,0
"1123","Jammu and Kashmir","India",2020-03-16,3,0,0
"1124","Jammu and Kashmir","India",2020-03-17,3,0,0
"1125","Jammu and Kashmir","India",2020-03-18,3,0,0
"1126","Jammu and Kashmir","India",2020-03-19,4,0,0
"1127","Jammu and Kashmir","India",2020-03-20,4,0,0
"1128","Jammu and Kashmir","India",2020-03-21,4,0,0
"1129","Jammu and Kashmir","India",2020-03-22,4,0,0
"1130","Jammu and Kashmir","India",2020-03-23,4,0,0
"1131","Jammu and Kashmir","India",2020-03-24,4,0,0
"1132","Jammu and Kashmir","India",2020-03-25,7,1,0
"1133","Jammu and Kashmir","India",2020-03-26,13,1,1
"1134","Jammu and Kashmir","India",2020-03-27,13,1,1
"1135","Jammu and Kashmir","India",2020-03-28,20,1,1
"1136","Jammu and Kashmir","India",2020-03-29,31,1,2
"1137","Jammu and Kashmir","India",2020-03-30,31,1,2
"1138","Jammu and Kashmir","India",2020-03-31,54,2,2
"1139","Jammu and Kashmir","India",2020-04-01,55,2,2
"1140","Jammu and Kashmir","India",2020-04-02,62,2,2
"1141","Jammu and Kashmir","India",2020-04-03,75,3,2
"1142","Jammu and Kashmir","India",2020-04-04,75,3,2
"1143","Jammu and Kashmir","India",2020-04-05,106,4,2
"1144","Jammu and Kashmir","India",2020-04-06,109,4,2
"1145","Jammu and Kashmir","India",2020-04-07,116,4,2
"1146","Jammu and Kashmir","India",2020-04-08,116,4,2
"1147","Jammu and Kashmir","India",2020-04-09,158,4,4
"1148","Jammu and Kashmir","India",2020-04-10,184,6,4
"1149","Jammu and Kashmir","India",2020-04-11,207,6,4
"1150","Jammu and Kashmir","India",2020-04-12,224,6,4
"1151","Jammu and Kashmir","India",2020-04-13,245,6,4
"1152","Jammu and Kashmir","India",2020-04-14,270,16,4
"1153","Jammu and Kashmir","India",2020-04-15,278,30,4
"1154","Jammu and Kashmir","India",2020-04-16,300,36,4
"1155","Jammu and Kashmir","India",2020-04-17,314,38,4
"1156","Jammu and Kashmir","India",2020-04-18,328,42,5
"1157","Jammu and Kashmir","India",2020-04-19,341,51,5
"1158","Jharkhand","India",2020-01-22,0,0,0
"1159","Jharkhand","India",2020-01-23,0,0,0
"1160","Jharkhand","India",2020-01-24,0,0,0
"1161","Jharkhand","India",2020-01-25,0,0,0
"1162","Jharkhand","India",2020-01-26,0,0,0
"1163","Jharkhand","India",2020-01-27,0,0,0
"1164","Jharkhand","India",2020-01-28,0,0,0
"1165","Jharkhand","India",2020-01-29,0,0,0
"1166","Jharkhand","India",2020-01-30,0,0,0
"1167","Jharkhand","India",2020-01-31,0,0,0
"1168","Jharkhand","India",2020-02-01,0,0,0
"1169","Jharkhand","India",2020-02-02,0,0,0
"1170","Jharkhand","India",2020-02-03,0,0,0
"1171","Jharkhand","India",2020-02-04,0,0,0
"1172","Jharkhand","India",2020-02-05,0,0,0
"1173","Jharkhand","India",2020-02-06,0,0,0
"1174","Jharkhand","India",2020-02-07,0,0,0
"1175","Jharkhand","India",2020-02-08,0,0,0
"1176","Jharkhand","India",2020-02-09,0,0,0
"1177","Jharkhand","India",2020-02-10,0,0,0
"1178","Jharkhand","India",2020-02-11,0,0,0
"1179","Jharkhand","India",2020-02-12,0,0,0
"1180","Jharkhand","India",2020-02-13,0,0,0
"1181","Jharkhand","India",2020-02-14,0,0,0
"1182","Jharkhand","India",2020-02-15,0,0,0
"1183","Jharkhand","India",2020-02-16,0,0,0
"1184","Jharkhand","India",2020-02-17,0,0,0
"1185","Jharkhand","India",2020-02-18,0,0,0
"1186","Jharkhand","India",2020-02-19,0,0,0
"1187","Jharkhand","India",2020-02-20,0,0,0
"1188","Jharkhand","India",2020-02-21,0,0,0
"1189","Jharkhand","India",2020-02-22,0,0,0
"1190","Jharkhand","India",2020-02-23,0,0,0
"1191","Jharkhand","India",2020-02-24,0,0,0
"1192","Jharkhand","India",2020-02-25,0,0,0
"1193","Jharkhand","India",2020-02-26,0,0,0
"1194","Jharkhand","India",2020-02-27,0,0,0
"1195","Jharkhand","India",2020-02-28,0,0,0
"1196","Jharkhand","India",2020-02-29,0,0,0
"1197","Jharkhand","India",2020-03-01,0,0,0
"1198","Jharkhand","India",2020-03-02,0,0,0
"1199","Jharkhand","India",2020-03-03,0,0,0
"1200","Jharkhand","India",2020-03-04,0,0,0
"1201","Jharkhand","India",2020-03-05,0,0,0
"1202","Jharkhand","India",2020-03-06,0,0,0
"1203","Jharkhand","India",2020-03-07,0,0,0
